trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC,param_PumpRPM
31,-49.981868743896484,2025-09-05 11:49:21.775386,2025-09-05 11:49:21.822273,191.30567259105973,15.405585996099724,176.28721657280497,0.34620227466577663,1859.580589422518,200.3082636123698,3.7222169640000264,52.94257981217631,0.5397052387968923,412.5467751151944,1147.848107892674
32,-50.449493408203125,2025-09-05 11:49:21.822273,2025-09-05 11:49:21.865997,169.78189424176404,17.53453928395065,178.00098527476482,0.31739617739166415,1808.35620020942,204.34215173770986,7.356849874228253,48.94062901448064,0.5129311830425676,455.80090273186266,1142.0179483873849
33,-49.981868743896484,2025-09-05 11:49:21.865997,2025-09-05 11:49:21.912345,188.1749555818465,16.47049496515189,173.73961351896898,0.3489758473144925,1841.0168033173754,198.5214413248236,5.171129993149607,54.69624323350128,0.46601968795782805,375.8851520216653,1078.5055649913938
34,-50.060997009277344,2025-09-05 11:49:21.912345,2025-09-05 11:49:21.960688,191.6891248505048,18.25538624186683,209.9624887298458,0.38585024783469285,1844.9671677990789,209.64553978641172,10.393225258906245,43.20808094381689,0.5329765876098688,402.7759455371947,1117.884696606163
35,-49.981868743896484,2025-09-05 11:49:21.961690,2025-09-05 11:49:22.005998,186.16156894767624,14.384756396851403,179.98369883641797,0.2930186421293435,1813.0836350883305,192.7380174296267,15.179772875539427,46.968118279108516,0.07203785828098916,477.3204124530563,1035.811849795229
36,-51.05088424682617,2025-09-05 11:49:22.006998,2025-09-05 11:49:22.052839,193.8954367568286,15.757664889480633,185.19542017154592,0.41296499450463714,1600.7332194365263,199.81614237594772,4.728699234887486,49.71094796957273,0.4210159067221361,436.2458661547835,1068.0968725540106
37,-50.14358139038086,2025-09-05 11:49:22.052839,2025-09-05 11:49:22.100201,194.5149504797675,16.93946211853958,174.74667809883647,0.31411068587608804,1770.3639273791025,180.7064094102481,8.000314294648664,52.37988982506029,0.47863846309217,462.6583674842282,938.8846925877083
38,-51.34224319458008,2025-09-05 11:49:22.100705,2025-09-05 11:49:22.146431,168.55528312937633,12.808897061824876,188.73846558968825,0.3307091333000287,1655.8341034562336,186.53739225440967,9.438830162216616,45.16230186722938,0.44490930573393983,330.1619436363384,863.9890945169051
39,-50.12553024291992,2025-09-05 11:49:22.146938,2025-09-05 11:49:22.194812,188.44539812600263,11.892909878256804,230.75512116391798,0.293645229003858,1796.9438770151266,192.82110220388313,12.406953460178844,23.403088349396192,0.3178206200499562,378.8865369162639,900.4753440176589
40,-50.352447509765625,2025-09-05 11:49:22.195317,2025-09-05 11:49:22.239174,180.4553836348057,6.566120473606262,201.13162135036777,0.35568612959992346,1722.9988642873027,168.06406314830977,14.890680433103931,30.320754305057903,0.2800750809851012,563.5439037568809,974.4029507602206
41,-49.981868743896484,2025-09-05 11:49:22.239174,2025-09-05 11:49:22.287105,191.71000301204552,16.793210294616205,180.14994214396722,0.3243905838639324,1827.0389395188386,189.41566558234206,19.904282000842322,47.783857400338775,0.24019742122111917,495.1259153909573,930.2749474699787
42,-49.981868743896484,2025-09-05 11:49:22.287105,2025-09-05 11:49:22.334064,192.5325465056365,17.700189413408562,172.92227007718483,0.28144078702502645,1801.8950554059913,176.3899609365247,22.494425193755255,48.44401194166316,0.21733424200978238,540.8862713247622,962.1331501722664
43,-49.981868743896484,2025-09-05 11:49:22.334064,2025-09-05 11:49:22.382427,195.46323147166325,16.331973920671775,179.16727106165874,0.37750205449884117,1848.754896274631,203.01287064978996,18.163588911412837,52.68055288980115,0.16348961548571958,358.84430930061905,984.4350840331358
44,-49.981868743896484,2025-09-05 11:49:22.382427,2025-09-05 11:49:22.429237,189.8758601608414,18.437795056374004,192.74341529554673,0.30681800226779743,1813.9371290119877,193.06491060730553,17.51677404824728,51.29694388490071,0.27094395185190095,446.3028663747752,1046.89832362192
45,-49.981868743896484,2025-09-05 11:49:22.430758,2025-09-05 11:49:22.476137,192.5901958231006,17.796151678927462,186.85081204098003,0.33579540671668445,1846.3361526816363,197.64051942646364,30.018121421949292,49.85344965968625,0.17900522148116074,422.963644261568,841.6590334888308
46,-50.14358139038086,2025-09-05 11:49:22.476640,2025-09-05 11:49:22.525494,185.10260690078664,16.45243327524627,172.30133682465876,0.31347075048144835,1745.3563115103302,189.11061707141823,23.671912409130442,42.83007039825804,0.2509679683058515,407.4493193283747,919.0520104572341
47,-49.981868743896484,2025-09-05 11:49:22.525494,2025-09-05 11:49:22.573388,187.80970750202766,9.07910007180627,181.6884266642189,0.3010847815931943,1824.5551142783825,201.3371514674673,27.747770286448024,54.969481196221764,0.343911623657589,390.1998131519747,1009.2583028472192
48,-50.44834518432617,2025-09-05 11:49:22.573918,2025-09-05 11:49:22.620828,164.46923570584326,17.236833283523918,169.11696046042255,0.28779515858223254,1800.9553393756612,184.9818162034195,6.614150282297119,35.362269111039545,0.3976915137276953,473.2543928782395,899.6380257939559
49,-53.37460708618164,2025-09-05 11:49:22.621332,2025-09-05 11:49:22.669712,194.69597942322102,9.82804935526418,177.1866579086758,0.32920445151505656,1540.7162867323975,207.4499799170806,18.900098559691685,32.85285036636867,0.5146059451073921,501.03584645317375,948.2562618717236
