trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM,param_Class_15
10,23.20524787902832,2025-08-26 14:32:34.567756,2025-08-26 14:32:34.607023,165.34558125324085,6.512168948177301,239.72930441097614,0.43102565753631017,1731.2841345126444,181.365826741612,6.688406520246625,24.84327342574883,332.9666913525004,1145.999569639619,2.28915644671336
11,26.469295501708984,2025-08-26 14:32:34.607023,2025-08-26 14:32:34.648898,164.27028277903364,12.068894669565141,204.84904846348553,0.3980591003971367,1825.1709597235572,211.74617953487547,30.8873638873264,41.5560319658591,378.1638625792286,943.4527021017154,1.3782309964505104
12,26.385053634643555,2025-08-26 14:32:34.649401,2025-08-26 14:32:34.684627,170.7838030477397,10.752599693840853,203.9934477433418,0.40021504243705036,1855.2154774640792,213.6725099143701,12.245694065801267,54.96437275514911,349.4517311731999,981.0059291551637,1.7263708031043974
13,22.416778564453125,2025-08-26 14:32:34.686710,2025-08-26 14:32:34.724239,169.72296779947138,11.542811523933164,202.38324137176613,0.3976052022380018,1731.736895354004,219.26695131135537,26.29143932165328,40.2119154558846,385.2657776088953,966.3119929885826,2.0597783469853237
14,26.774513244628906,2025-08-26 14:32:34.724239,2025-08-26 14:32:34.761504,176.00918536632955,8.833290994273648,211.95288260504466,0.4122727220302616,1845.2751238305689,205.60927244393395,21.655923902705233,46.56016506639694,386.5424538134749,1094.6544074845142,1.2586268946116976
15,25.77853012084961,2025-08-26 14:32:34.762507,2025-08-26 14:32:34.799305,177.7434803429108,8.880253294647066,213.7134281593871,0.43631736736826193,1759.9904700552809,187.9257607098914,22.246195815638366,53.34785707638175,405.94135862351067,1145.5190515550291,1.1916143596244615
16,26.599658966064453,2025-08-26 14:32:34.799305,2025-08-26 14:32:34.837604,171.4294828187964,6.502678985841045,237.0617188603066,0.3425296137924974,1852.2487542328397,203.81514234073478,8.790814302203405,46.43767801201747,363.64805227664704,1088.7442227965712,1.6160272949414862
17,24.52436065673828,2025-08-26 14:32:34.837604,2025-08-26 14:32:34.874920,174.46651130096888,9.828575431581795,172.77153334809637,0.47833639767910474,1770.344125187125,222.09624180621822,20.565704610978877,23.96211621189738,411.0092448710829,1037.0561293716548,0.7394260977194279
18,21.25272560119629,2025-08-26 14:32:34.874920,2025-08-26 14:32:34.912235,180.40844776740522,7.73550927606093,214.92491523943733,0.5180523196125891,1710.8870564683991,205.95733408160729,12.72556058823356,31.525030873040198,342.65865780752046,1091.738966762794,2.027409922062564
19,28.908716201782227,2025-08-26 14:32:34.912235,2025-08-26 14:32:34.948899,187.5713128599591,14.996714479616113,196.00951494648447,0.4236076964479953,1859.011918598394,187.96814407821105,26.278281954305996,49.1534819849762,388.5847769171565,997.9241349968114,1.5406622517041724
20,28.273773193359375,2025-08-26 14:32:34.948899,2025-08-26 14:32:34.986497,188.9534218451242,15.600280413635508,191.8193415178073,0.4208635463824252,1853.47567210906,184.90548522357466,27.968955070347132,51.433638839356036,456.3340660702452,996.9999482104881,1.5171636955945818
21,28.273773193359375,2025-08-26 14:32:34.987500,2025-08-26 14:32:35.025371,188.76082988275323,15.610189929508477,194.52887400482993,0.4232875071477527,1858.7327856059283,184.31923605584382,27.04139843665724,49.43368127665428,471.59297046340237,1014.2337425668911,1.5276653425042785
22,26.470800399780273,2025-08-26 14:32:35.025371,2025-08-26 14:32:35.062105,188.5565331430599,15.571305570004558,194.05266587684525,0.4265431282221613,1781.9909124889555,180.7294894609178,27.73890505747566,51.23971130561242,481.2378428293096,996.2979783325696,1.4887946258731275
23,28.38091278076172,2025-08-26 14:32:35.062105,2025-08-26 14:32:35.099646,194.82001947564382,15.659712668079104,195.22245307207777,0.37381970600939063,1855.7033428493544,187.17076429037428,28.301267032419986,50.05997316497094,465.7932223464934,917.995493216258,1.5603420151910403
24,28.16010284423828,2025-08-26 14:32:35.099646,2025-08-26 14:32:35.136063,195.63346019906237,15.502882098789234,195.64918468330936,0.3727025035968351,1827.0981244140753,170.3369545074795,28.556788308327476,42.518114038680764,450.84555484805105,908.2000266809403,1.584535795911408
25,22.05974769592285,2025-08-26 14:32:35.136565,2025-08-26 14:32:35.174022,192.1540098006395,14.45969077108559,177.19867691725196,0.37544865084130796,1540.4137492786576,190.25859009161505,24.855159436627833,50.903895183906336,444.1166442942835,950.5930799239699,1.7047982327138693
26,24.951234817504883,2025-08-26 14:32:35.174533,2025-08-26 14:32:35.212326,195.061991988285,16.524865324897497,197.66969503340994,0.4547300648946729,1753.9414781402131,177.36266216125688,28.849511650368534,44.340163724049056,463.24326515580447,885.9389752666972,1.1186668934111161
27,27.921875,2025-08-26 14:32:35.212326,2025-08-26 14:32:35.249146,191.24970255471578,14.51221977667951,170.14599436741747,0.3514414706619257,1831.4725737028796,186.9103232720014,25.256389392725964,52.44310557310212,428.18092112965496,991.8929521081161,1.3651975519110913
28,27.54815101623535,2025-08-26 14:32:35.249146,2025-08-26 14:32:35.287482,187.46604798627646,18.481630302820577,190.56089669134727,0.387188171887486,1803.6605856529677,177.54993956466532,29.577292071303493,49.19791083055042,498.8321726594056,935.9364913528258,1.480178925369345
29,22.281909942626953,2025-08-26 14:32:35.287482,2025-08-26 14:32:35.325359,186.2516091990673,16.395173378233533,200.0738495634325,0.32315226682983106,1668.6012132528413,193.8955389009465,23.87689106696305,49.391272649828736,430.9423139669546,855.0946725901124,1.6939287824841942
30,27.109485626220703,2025-08-26 14:32:35.325359,2025-08-26 14:32:35.364157,182.1689264123243,12.940045888792175,189.5885316540374,0.3153190412851376,1836.7916928977786,168.09944648862978,23.42769036468904,54.82067086366036,405.2442790459904,900.3969911799547,0.95631983869022
31,28.38091278076172,2025-08-26 14:32:35.364157,2025-08-26 14:32:35.404458,189.03353068040354,15.696762654169962,192.96834756235032,0.4170246677558459,1849.27205936942,185.4789607732111,27.082963493535143,48.21770468479333,469.65390459516334,1025.606060149663,1.560191600242832
32,26.776582717895508,2025-08-26 14:32:35.405458,2025-08-26 14:32:35.443631,193.83782412995177,15.289815824787851,181.97013201038192,0.4150206864586537,1792.2286103512834,184.76742416157114,26.1597694225249,48.324078085102954,456.2990642561752,967.0317354013451,1.62047856001903
33,28.075876235961914,2025-08-26 14:32:35.443631,2025-08-26 14:32:35.482469,190.24495841851996,16.780005521087904,184.77948344508943,0.442444081534566,1811.1610932109375,190.4448893571468,28.592601530306634,44.279126251449206,488.5905730708124,1033.218479125197,1.7649909410592013
34,28.37872886657715,2025-08-26 14:32:35.482469,2025-08-26 14:32:35.521206,192.53872473587248,18.00625350500431,191.85886363033023,0.38566181661196447,1855.6851354227013,179.28465376928568,24.139383080138746,52.387859640930294,533.7093689489832,999.7158718106635,1.9586147250356667
35,26.652956008911133,2025-08-26 14:32:35.521206,2025-08-26 14:32:35.560949,193.3343119149125,17.66579607181822,208.7902398031017,0.3590093887768754,1786.8643231201668,178.0477529173136,18.97434089571632,38.19163554325829,540.3950830480862,921.9794664440373,1.9519080805441908
36,28.448745727539062,2025-08-26 14:32:35.561955,2025-08-26 14:32:35.599219,192.28765993531576,18.15377872958328,198.16111836234012,0.3791828200846198,1859.9666379284683,173.33385410572114,23.31563685329873,44.38222893892017,537.4324125203418,872.1766576338125,2.1175431249512946
37,26.34153175354004,2025-08-26 14:32:35.599219,2025-08-26 14:32:35.639121,195.92844537806204,13.517164233276901,198.47064209482804,0.406825375354708,1811.3603116498778,175.30407130868795,17.580216916073653,34.88207957774618,567.5534124292346,860.1767762563583,2.1061884252175287
38,28.167728424072266,2025-08-26 14:32:35.639471,2025-08-26 14:32:35.678742,183.32942432279077,14.858199095837131,185.97656941546538,0.3825360215179985,1839.0747103510055,172.45222886412125,31.21015406619037,44.28820422084936,519.8105842370277,774.7006087685124,2.1457307295889083
39,27.428497314453125,2025-08-26 14:32:35.678742,2025-08-26 14:32:35.718089,190.46926824237175,17.185122766762472,207.76676664965936,0.36402326981273725,1817.551845851798,197.9848368684829,25.844607792978703,39.012332394178465,546.4670599752719,818.9141321221397,0.8678932865115331
40,27.527132034301758,2025-08-26 14:32:35.718089,2025-08-26 14:32:35.757357,186.6083101969247,16.204710977767206,179.44871413054,0.47007942983629253,1797.1496051171591,190.969644365489,22.87443144053833,36.10180591065185,505.0546112351261,886.043304941606,2.1935949851483083
41,28.448745727539062,2025-08-26 14:32:35.757859,2025-08-26 14:32:35.796612,192.08028065995708,18.218013976492745,200.43068172573683,0.387573767494845,1842.2819778924063,180.61010405234583,24.804095969098064,47.21122715485722,533.904785760646,970.4282826051397,1.9438026806524014
42,28.448745727539062,2025-08-26 14:32:35.796612,2025-08-26 14:32:35.836471,194.07613141300624,18.240459682110263,200.09991983488547,0.3931189101299504,1836.5389599817656,183.18143253393507,29.873152896372545,47.28799644110947,522.2304778462291,1068.5926647295712,1.8495631630398723
43,28.448745727539062,2025-08-26 14:32:35.837474,2025-08-26 14:32:35.876320,194.22540817340797,18.375870137416623,201.70310868197237,0.37385806667014176,1835.4271303368364,182.38351449768234,29.28925222258952,45.177771710069464,554.4187931715803,1061.3856635792354,1.898158412351409
44,28.448745727539062,2025-08-26 14:32:35.876320,2025-08-26 14:32:35.915995,192.22954788030168,18.38315675955119,201.23418438991087,0.39018820178732466,1834.631676053253,174.13482546662328,30.80115894556164,45.65351669304047,551.2609265592245,1066.352181073971,1.8516272364670696
45,21.790252685546875,2025-08-26 14:32:35.916997,2025-08-26 14:32:35.955861,191.24983485269684,17.44991219224093,206.0522019546521,0.3537071581795431,1626.2978206970176,181.77235842447314,20.888750783145394,42.43122086380495,527.2429633954486,1120.2715555195227,1.915173237293895
46,28.372926712036133,2025-08-26 14:32:35.956864,2025-08-26 14:32:35.995534,194.5005185411885,18.012751172091612,210.22491541907345,0.4035407809188724,1821.508895255663,182.46952465872567,29.76015718492089,40.83037822039522,565.6190762038913,750.6303141279328,1.7871197319443393
47,26.08950424194336,2025-08-26 14:32:35.996048,2025-08-26 14:32:36.035940,193.54440911908398,17.266814331776303,220.5688378406394,0.33371925547089043,1772.5407469129866,171.71651727161932,29.75850146326036,46.76893808555569,516.9612917080374,1066.7095012725597,2.213108844855727
48,27.63857078552246,2025-08-26 14:32:36.036475,2025-08-26 14:32:36.075344,184.36750463493823,16.954637449216293,203.4420233279847,0.49827596628926785,1803.8162566888584,174.97133367690125,25.474531493681813,43.32880151082354,551.4091527119232,1119.1048702667892,2.014856810903014
49,27.500152587890625,2025-08-26 14:32:36.075344,2025-08-26 14:32:36.114476,191.43225618443674,17.892761622875636,199.05875012250888,0.3967555382059659,1839.650794766313,196.81736121545993,15.703213489734818,45.618488661156675,531.8130805363539,1050.1430801653635,1.9046550652439105
