trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC
24,22.52149772644043,1,2025-09-16 11:39:32.507657,2025-09-16 11:39:32.540296,0.032639,175.33661308233113,8.807254763362085,209.59680190361115,0.4548047651910436,1672.5893983553442,204.49729234276893,6.3712824669361865,28.68105048278781,0.30429464490903063,502.39129742555843
25,23.07870101928711,1,2025-09-16 11:39:32.540296,2025-09-16 11:39:32.575238,0.034942,195.97621411844008,12.566271203027155,217.98549886789684,0.49808558397021696,1713.911184922266,218.16924721004477,15.617847374519105,39.57216608090958,0.4054213175648373,548.1961746996814
26,22.00270652770996,1,2025-09-16 11:39:32.575238,2025-09-16 11:39:32.608425,0.033187,170.3044991087128,6.817126083829523,222.85268805950446,0.3893539031308567,1655.3076898445966,226.19984196276314,7.719317254652445,50.1444800865378,0.4576201874296915,480.3816562487755
27,27.660669326782227,1,2025-09-16 11:39:32.608425,2025-09-16 11:39:32.642103,0.033678,182.6615389209334,14.16168565411446,201.04011076023696,0.46391816079526965,1859.7227223096186,210.83193519384045,5.420226395004695,35.12829470820796,0.1971999648265228,524.3092446290314
28,22.126813888549805,1,2025-09-16 11:39:32.642653,2025-09-16 11:39:32.675823,0.03317,166.59841507926134,10.648422331529616,190.00961745621876,0.4150883689200114,1568.733571165233,227.24980334105356,9.04332620520833,44.112651854320355,0.06608984456249425,435.01693480311735
29,22.00270652770996,1,2025-09-16 11:39:32.675823,2025-09-16 11:39:32.709300,0.033477,172.4155711060716,9.255520181420831,226.81418178827286,0.44153032691681765,1606.041886607866,231.90145567079256,20.329018190872333,52.340497761093985,0.2671770819835825,561.2793015206894
30,22.702863693237305,1,2025-09-16 11:39:32.710300,2025-09-16 11:39:32.743434,0.033134,175.6822055767903,12.729165437700841,177.77934367198012,0.39847909720161917,1574.6340857716232,220.69245581187005,11.497157196148088,19.32494937357283,0.3715132819566733,506.56251900791966
31,21.95307159423828,1,2025-09-16 11:39:32.743434,2025-09-16 11:39:32.777602,0.034168,168.53486776016044,11.818418593136592,211.64025737333859,0.41281687810224954,1655.873070218815,224.48684039989152,26.790377731625743,53.80822744959513,0.3131080691386729,562.2439242762514
32,21.917598724365234,1,2025-09-16 11:39:32.778601,2025-09-16 11:39:32.812744,0.034143,165.74401599245368,11.959136660985854,215.7534460648369,0.43197182252027005,1629.2452354015059,228.52297579707388,25.949861515866022,46.724400927441295,0.31929701850830144,552.6916905841425
33,21.917598724365234,1,2025-09-16 11:39:32.812744,2025-09-16 11:39:32.846964,0.03422,165.6955414080965,11.976798238025978,215.83526159494323,0.3812693098733248,1665.435207559914,228.9388849839022,25.93693376622401,46.908147012298755,0.3097720540713068,556.1095082014673
34,21.917598724365234,1,2025-09-16 11:39:32.846964,2025-09-16 11:39:32.883168,0.036204,165.66524704383346,12.051177946672718,214.64499282219828,0.332572672331966,1666.1161577869132,228.55457179478924,25.878427123778785,45.95308329054572,0.30273669130799374,569.6073018541155
35,21.51947021484375,1,2025-09-16 11:39:32.883168,2025-09-16 11:39:32.917333,0.034165,165.14823442913223,14.628072731125508,230.89580215406335,0.3420618337131926,1695.198465223634,230.19681438338733,26.017965111568554,47.063296717556256,0.22453294889772976,552.597518699532
36,21.51947021484375,1,2025-09-16 11:39:32.917862,2025-09-16 11:39:32.951972,0.03411,166.2260196562845,15.016077172374278,240.79238096294895,0.35368040746426604,1693.0991455430026,231.4335397513913,25.2866921825743,46.5444403865122,0.13645570661238424,550.5140103459129
37,22.3516845703125,1,2025-09-16 11:39:32.952977,2025-09-16 11:39:32.987160,0.034183,164.6983003972696,16.33191850561545,240.6696411105387,0.3459732091011529,1698.323862824059,231.15539994677323,21.169775784468932,42.01564032768533,0.15280723723860426,364.5407439716196
38,23.864896774291992,1,2025-09-16 11:39:32.988160,2025-09-16 11:39:33.022832,0.034672,181.95719323570432,14.554167040575505,231.2334499669902,0.2919071169635205,1737.8073351265464,231.68585743326338,28.79130368821981,51.7000679671259,0.2115672554772803,546.994409401949
39,21.51947021484375,1,2025-09-16 11:39:33.022832,2025-09-16 11:39:33.058054,0.035222,167.64382962513545,15.626788036043248,234.98904054605578,0.3491237465899925,1692.7606017344917,227.3796707454235,24.2101038651167,48.255045922614656,0.06109866789651662,484.6025396798196
40,23.153528213500977,1,2025-09-16 11:39:33.058054,2025-09-16 11:39:33.093236,0.035182,168.04980461937703,15.421139697124456,233.78853385943674,0.35681675226282483,1720.9865352851393,215.00992897474572,23.458921302160103,48.61034373405253,0.08027191200259076,484.44897571286657
41,21.51947021484375,1,2025-09-16 11:39:33.094240,2025-09-16 11:39:33.129352,0.035112,165.9212710381972,16.555778270915646,238.12216418165568,0.3233606161761941,1690.1261415900613,227.26017239858749,24.62290610276093,46.143859406648566,0.11371883644795402,545.7483367096413
42,22.3516845703125,1,2025-09-16 11:39:33.129352,2025-09-16 11:39:33.164506,0.035154,167.23784949806668,16.83856520775406,240.83868216597847,0.31987252766810104,1697.6963081465644,223.00773575720157,27.940298208689278,40.93712533362478,0.10198871413184783,467.40955798114146
43,22.141536712646484,1,2025-09-16 11:39:33.165506,2025-09-16 11:39:33.199741,0.034235,187.61840107894562,16.04655848423045,235.8405796201927,0.34746880245908335,1688.8061799646448,227.0016964185962,31.491775208445187,44.51631213109367,0.14381693310152507,516.5449238790279
44,24.464841842651367,1,2025-09-16 11:39:33.199741,2025-09-16 11:39:33.235459,0.035718,169.18158209042954,17.895515278999788,227.46918289547372,0.2831221063494246,1753.745441874026,178.6501495462192,22.301406281650877,50.27087734702636,0.10481351862827068,400.870252840808
45,22.589502334594727,1,2025-09-16 11:39:33.235459,2025-09-16 11:39:33.271121,0.035662,165.9158855686915,15.141295256838498,231.96311095447962,0.37103600916971613,1708.6227639244005,221.32489662662715,24.61159026934135,47.26260230513317,0.1554821229321705,495.80245598754914
46,21.51947021484375,1,2025-09-16 11:39:33.272124,2025-09-16 11:39:33.307840,0.035716,170.58120533924793,14.592591727868003,237.0321806114141,0.3110682732776349,1683.4741396220477,226.64264084067935,19.837410901143492,52.13984712994525,0.09635045453348273,542.2364058876319
47,23.502731323242188,1,2025-09-16 11:39:33.307840,2025-09-16 11:39:33.343537,0.035697,167.4408197324717,16.876594917378732,228.7873087897723,0.33885230013337486,1726.5546584725898,215.17070214089458,24.207330939828413,44.89064892800302,0.12191892293725626,525.5986298250217
48,22.87047576904297,1,2025-09-16 11:39:33.343537,2025-09-16 11:39:33.379266,0.035729,177.85720416776064,14.118862048292293,234.00415060041018,0.3582540222492433,1699.6398539189754,229.6692367844919,29.174573215336757,48.321317398216195,0.17074039949015146,509.3327153536535
49,21.51947021484375,1,2025-09-16 11:39:33.379266,2025-09-16 11:39:33.415374,0.036108,164.77955510207875,15.465662357712963,222.1064109022165,0.31962409792259666,1681.4489572736359,222.0738358980766,27.256727910870357,38.82976213354149,0.21974966226388556,425.66632191751034
